,Naam,description,direction,heading,hectometer,main_road,secondary_road,type,lat,lng
654,569,,,,,Haarlemmermeerstraat,Cornelis Lelylaan-,5,52.35804,4.85032
655,571,,,,,Overtoom,Amstelveenseweg-,5,52.35769,4.8554
656,572,,,,,Overtoom,Rhijnvis Feithstraat-Reyer Anslostraat,5,52.35896,4.86009
657,573,,,,,Overtoom,Jan Pieter Heijestraat-,5,52.36029,4.86555
658,575,,,,,Overtoom,"Const. Huygensstraat, 2e-",5,52.36232,4.87365
659,576,,,,,Overtoom,"Const. Huygensstraat, 1e-",5,52.36274,4.87528
660,577,,,,,Overtoom,Nassaukade-,5,52.3637,4.87881
661,578,,,,,Stadhouderskade,Leidseplein-Vondelstraat,5,52.36291,4.88009
662,580,,,,,Surinameplein,-,5,52.3588,4.8533
663,583,,,,,Stadhouderskade,Hobbemastraat-,5,52.36166,4.88232
664,586,,,,,Hobbemakade,Hobbemastraat-,5,52.35874,4.88637
665,589,,,,,Stadhouderskade,Rijksmuseum-,5,52.36055,4.886
666,590,,,,,Stadhouderskade,Hobbemakade-,5,52.36013,4.8868
667,591,,,,,Hobbemakade,Honthorststraat-,5,52.35761,4.88629
668,597,,,,,Hoofdweg,Corantijnstraat-,5,52.36183,4.85326
669,598,,,,,Zeilstraat,Baarsstraat-,5,52.35083,4.85412
670,615,,,,,Europaboulevard,Rijstrooksignalering-,5,52.33831,4.89199
671,635,,,,,Europaplein,President Kennedylaan-,5,52.34085,4.89228
672,638,,,,,Europaboulevard,Nieuwe Herlaer-,5,52.32639,4.89006
673,639,,,,,Europaboulevard,Rai Parkeerterrein-,5,52.33895,4.89207
674,640,,,,,Europaplein,Rooseveltlaan-,5,52.34193,4.89252
675,641,,,,,Rooseveltlaan,Maasstraat-,5,52.34299,4.89659
676,642,,,,,Europaboulevard,A10 Binnenring-,5,52.33754,4.89184
677,643,,,,,Europaboulevard,"A10 Buitenring-Boelelaan, De",5,52.3339,4.88998
678,645,,,,,"Boshuizenstraat, Van",Backershagen-,5,52.32473,4.87565
679,647,,,,,Rijnstraat,Vop-,5,52.34356,4.90625
680,648,,,,,"Woustraat, Van",Lutmastraat-,5,52.35167,4.90321
681,649,,,,,Amsteldijk,President Kennedylaan-,5,52.34323,4.9131
682,650,,,,,President Kennedylaan,M.L.Kingpark-,5,52.34157,4.91169
683,651,,,,,President Kennedylaan,Rijnstraat-,5,52.34033,4.9076
684,652,,,,,President Kennedylaan,Waalstraat-,5,52.34038,4.90174
685,653,,,,,President Kennedylaan,Maasstraat-,5,52.34061,4.89745
686,654,,,,,Scheldeplein,"Wielingenstraat, Van-Scheldestraat",5,52.3441527777778,4.89090555555556
687,655,,,,,Stadionweg,Diepenbrockstraat-,5,52.34717,4.88001
688,656,,,,,Beethovenstraat,Stadionweg-,5,52.34687,4.8769
689,659,,,,,Olympiaplein,Parnassusweg-,5,52.34645,4.86711
690,660,,,,,Stadionweg,Achillesstraat-,5,52.346,4.86384
691,661,,,,,"Treublaan, Mr",Weesperzijde-,5,52.34746,4.91367
692,662,,,,,Vrijheidslaan,Amsteldijk-,5,52.34718,4.91169
693,663,,,,,Vrijheidslaan,Kromme Mijdrechtstraat-,5,52.34671,4.9083
694,664,,,,,Rijnstraat,Vrijheidslaan-,5,52.34628,4.90523
695,667,,,,,Churchilllaan,Maasstraat-,5,52.34693,4.89511
696,668,,,,,Churchilllaan,Scheldestraat-,5,52.34714,4.89111
697,670,,,,,Hobbemakade,"Hillegaertstraat, Van-Stadionweg",5,52.34984,4.88587
698,671,,,,,Apollolaan,Stadionweg-,5,52.3487,4.88308
699,672,,,,,Apollolaan,Beethovenstraat-,5,52.35053,4.87873
700,673,,,,,Apollolaan,Breitnerstraat-Rubensstraat,5,52.3508,4.87346
701,674,,,,,Apollolaan,Michelangelostraat-Willem Witsenstraat,5,52.35067,4.87077
702,675,,,,,Amstelveenseweg,Argonautenstraat-,5,52.34391,4.85689
703,676,,,,,Beethovenstraat,Strawinskylaan-,5,52.34094,4.87696
704,677,,,,,Marathonweg,Olympiaweg-,5,52.34803,4.86189
705,678,,,,,Amstelveenseweg,Kalfjeslaan-,5,52.32163,4.8575
706,679,,,,,Amstelveenseweg,Stadionplein-,5,52.34495,4.85663
707,680,,,,,Amstelveenseweg,Fred. Roeskestraat-,5,52.34111,4.85769
708,681,,,,,Amstelveenseweg,"Nijenrodeweg, Van-",5,52.3278,4.85747
709,682,,,,,Buitenveldertselaan,Arent Jansz. Ernststraat-Gijsbrecht v.IJselst.str,5,52.33207,4.86884
710,683,,,,,De Boelelaan,VOP VU-,5,52.33517,4.85922
711,684,,,,,Buitenveldertselaan,"Boshuizenstraat, Van-",5,52.32461,4.86901
712,685,,,,,Buitenveldertselaan,"Cuserstraat, De-",5,52.3236,4.86906
713,686,,,,,"Boelelaan, De","Leijenberghlaan, Van-",5,52.33508,4.87862
714,687,,,,,"Boelelaan, De",Buitenveldertselaan-,5,52.33503,4.86882
715,688,,,,,"Boelelaan, De",Amstelveenseweg-,5,52.33517,4.85752
716,689,,,,,Amstelveenseweg,A10 Buitenring-,5,52.33707,4.8576
717,690,,,,,Arent Jansz. Ernststraat,"Leijenberghlaan, Van-",5,52.33209,4.87946
718,691,,,,,Beethovenstraat,Gustav Mahlerlaan-,5,52.33673,4.87727
719,692,,,,,Europaboulevard,Arent Jansz. Ernststraat-,5,52.3321,4.88996
720,693,,,,,Boelelaan,Tramoversteek-,5,52.335049,4.865849
721,694,,,,,"Leijenberghlaan, Van","Nijenrodeweg, Van-",5,52.32797,4.87946
722,695,,,,,"Boelelaan, De","Boechorststraat, Van Der-",5,52.33517,4.85991
723,696,,,,,Parnassusweg,Strawinskylaan-,5,52.34061,4.86842
724,697,,,,,Buitenveldertselaan,"Nijenrodeweg, Van-",5,52.32783,4.86886
725,698,,,,,Buitenveldertselaan,Gustav Mahlerlaan-,5,52.33715,4.86877
726,699,,,,,Amstelveenseweg,A10 Binnenring-,5,52.33909,4.8576
727,701096,,,0.0,,,,5,52.242599,4.82222
728,701110,,,0.0,,,,5,52.233917,4.836119
729,701329,,,0.0,,,,5,52.3246,4.80374
730,701332,,,0.0,,,,5,52.323898,4.801369
731,703519,,,0.0,,,,5,52.292721,4.724078
732,703543,,,0.0,,,,5,52.30312,4.751093
733,705004,,,0.0,,,,5,52.260792,4.607955
734,705009,,,0.0,,,,5,52.264694,4.613571
735,705012,,,0.0,,,,5,52.266842,4.616656
736,705016,,,0.0,,,,5,52.269051,4.619762
737,705018,,,0.0,,,,5,52.27092,4.622465
738,705023,,,0.0,,,,5,52.272892,4.625276
739,705027,,,0.0,,,,5,52.275974,4.629707
740,705055,,,0.0,,,,5,52.295513,4.657618
741,705057,,,0.0,,,,5,52.296833,4.659694
742,705059,,,0.0,,,,5,52.29829,4.661626
743,705061,,,0.0,,,,5,52.298729,4.662216
744,789,,,,,Fietspad schinkeleiland,busbaan afrit A10-,5,52.33678,4.85393
745,806,,,,,Prins Hendrikkade,Oosterdokskade-Binnenkant,5,52.37496,4.90391
746,850,,,,,Louwesweg,Doorsteek Ziekenhuis-,5,52.34664,4.82389
747,851,,,,,Antwerpenbaan,Laan Van Vlaanderen (oos-,5,52.34638,4.81607
748,857,,,,,Anderlechtlaan,Laan Van Vlaanderen-,5,52.34499,4.81141
749,858,,,,,Antwerpenbaan,Tramoversteek (west)-,5,52.34546,4.80629
750,859,,,,,Plesmanlaan,Laan Van Vlaanderen-,5,52.34936,4.80419
751,860,,,,,Akersingel,Pilatus-,5,52.35291,4.77685
752,861,,,,,De Alpen,Ookmeerweg-,5,52.35444,4.77115
753,862,,,,,Tram de Aker,Noorderakerweg-G.van Lierstraat,5,52.35099,4.78162
754,863,,,,,Pieter Calandlaan,Ecuplein-,5,52.34945,4.78716
755,864,,,,,Pieter Calandlaan,Pond Sterlingstraat-,5,52.35068,4.79316
756,865,,,,,Pieter Calandlaan,Baden Powellweg-,5,52.35086,4.79402
757,866,,,,,Pieter Calandlaan,Koos Vorrinkweg-,5,52.35206,4.80008
758,867,,,,,Pieter Calandlaan,De la Sallestraat-,5,52.35315,4.80544
759,868,,,,,Burg. Roellstraat,Burg. van Leeuwenlaan-,5,52.37642,4.81244
760,869,,,,,Burg. Roellstraat,Dr. H. Colijnstraat-,5,52.37695,4.80645
761,883,,,,,Dortmuiden,Westrandweg noordzijde-,5,52.39264,4.77849
762,889,,,,,Noordzeeweg,Westpoortweg-,5,52.39415,4.8027
763,891,,,,,Westpoortweg,Australiehavenweg-,5,52.39772,4.79436
764,893,,,,,Westpoortweg,Dortmuiden-,5,52.39771,4.77844
765,894,,,,,Westpoortweg,Heining-,5,52.39884,4.77127
766,895,,,,,Westpoortweg,Kopraweg-Casablancaweg,5,52.4029,4.75954
767,896,,,,,Westpoortweg,Ruigoordweg-,5,52.40629,4.75778
768,897,,,,,Oude Haagseweg,busbaan-,5,52.332,4.80711
769,900,,,,,Ruys de Beerenbrouckstr,Kruisherenpad-,5,52.38239,4.80173
770,900749,,,0.0,,,,5,52.614845,4.740826
771,900756,,,0.0,,,,5,52.618843,4.73132
772,900769,,,0.0,,,,5,52.625637,4.715989
773,900780,,,0.0,,,,5,52.633698,4.71653
774,900790,,,0.0,,,,5,52.640415,4.725784
775,900798,,,0.0,,,,5,52.647423,4.732259
776,901,,,,,Haarlemmerweg,Australiehavenweg-,5,52.38435,4.80313
777,902,,,,,Haarlemmerweg,Burg. De Vlugtlaan-Seineweg,5,52.38447,4.81876
778,903,,,,,Haarlemmerweg,Admiraal De Ruyterweg-,5,52.38496,4.84747
779,904,,,,,Haarlemmerweg,Bos En Lommerweg-,5,52.38506,4.85541
780,905,,,,,Haarlemmerweg,"Hallstraat, Van-",5,52.38531,4.86952
781,906,,,,,Haarlemmerweg,"Limburg Stirumstraat, V-",5,52.38546,4.875
782,907,,,,,Burg. De Vlugtlaan,Slotermeerlaan-,5,52.38141,4.82142
783,908,,,,,Jan Van Galenstraat,VOP metrostation-Ringtram,5,52.37312,4.8355
784,909,,,,,Burg. De Vlugtlaan,Burg. Fockstraat-,5,52.37972,4.83223
785,910,,,,,Bos En Lommerweg,A10 Binnenring-A10 Buitenring,5,52.37783,4.84444
786,911,,,,,Jan Van Galenstraat,Vespuccistraat-,5,52.37337,4.85228
787,912,,,,,Admiraal De Ruyterweg,Bos en Lommerweg-,5,52.3807,4.8546
788,913,,,,,Nieuwe Hemweg,Westhavenweg-Kabelweg,5,52.40008,4.84919
789,914,,,0.0,,Basisweg,Kabelweg-Transformatorweg,5,52.39184,4.84725
790,915,,,0.0,,Basisweg,Einsteinweg-,5,52.3918,4.8442
791,916,,,,,Basisweg,Radarweg-,5,52.39181,4.836
792,918,,,,,Jan Van Galenstraat,Fca-,5,52.37562,4.86629
793,919,,,,,Jan Van Galenstraat,Willem De Zwijgerlaan-,5,52.37516,4.86269
794,920,,,,,Admiraal De Ruyterweg,Jan van Galenstraat-,5,52.37464,4.85856
795,921,,,,,Jan Van Galenstraat,Hoofdweg-,5,52.37273,4.84888
796,922,,,,,Jan Van Galenstraat,A10 Binnenring-A10 Buitenring,5,52.372,4.84267
797,923,,,,,Jan Van Galenstraat,Jan Tooropstraat-,5,52.37261,4.83859
798,924,,,,,Bos En Lommerplein,-,5,52.37797,4.84607
799,925,,,,,Hoofdweg,Willem Schoutenstraat-Vop,5,52.36706,4.85254
800,927,,,,,Mercatorplein,-,5,52.37004,4.85024
801,928,,,,,Jan Evertsenstraat,Vespuccistraat-,5,52.37063,4.85369
802,929,,,,,Jan Van Galenstraat,Orteliuskade-Robert Scottstraat,5,52.3724,4.84678
803,930,,,,,Jan Evertsenstraat,Witte De Withstraat-,5,52.37143,4.8589
804,931,,,,,"Clercqstraat, De",Elisabeth Wolffstraat-,5,52.37022,4.86717
805,932,,,,,Kinkerstraat,"Katestraat, Ten-",5,52.36597,4.86755
806,933,,,,,Kinkerstraat,Jan Pieter Heijestraat-,5,52.3648,4.86267
807,935,,,,,Hoofdweg,Postjesweg-,5,52.36424,4.85316
808,936,,,,,Cornelis Lelylaan,A10 Binnenring-A10 Buitenring,5,52.35774,4.84202
809,937,,,,,Postjesweg,Witte De Withstraat-,5,52.36477,4.85951
810,939,,,,,Delflandlaan,Heemstedestraat-,5,52.35155,4.84086
811,940,,,,,Derkinderenstraat,Cornelis Lelylaan Nz-,5,52.35855,4.84063
812,941,,,,,Johan Huizingalaan,Robert Fruinlaan-Oostoever,5,52.36398,4.82704
813,943,,,,,Johan Huizingalaan,Comeniusstraat-,5,52.35919,4.82723
814,946,,,,,Johan Huizingalaan,Pieter Calandlaan-,5,52.35621,4.8273
815,948,,,,,Johan Huizingalaan,David Ricardostraat-,5,52.34137,4.82776
816,949,,,,,Johan Huizingalaan,Plesmanlaan-,5,52.35141,4.82741
817,950,,,,,Johan Huizingalaan,Aletta Jacobslaan-Louwesweg,5,52.34687,4.82754
818,951,,,,,Johan Huizingalaan,Henk Sneevlietweg-,5,52.34555,4.82756
819,952,,,,,Henk Sneevlietweg,A10-,5,52.34557,4.84051
820,953,,,,,Meer en Vaart,Ookmeerweg-,5,52.36588,4.80248
821,954,,,,,Meer en Vaart,Osdorperban-,5,52.36309,4.80549
822,955,,,,,Meer en Vaart,Osdorpplein ZZ-,5,52.35842,4.80819
823,956,,,,,Pieter Calandlaan,Louis Davidsstraat-Meer En Vaart,5,52.35402,4.80948
824,957,,,,,Meer En Vaart,Osdorpplein Nz-,5,52.36058,4.80704
825,958,,,,,Meer En Vaart,Cornelis Lelylaan Nz-,5,52.35637,4.8093
826,959,,,,,Cornelis Lelylaan,Station-,5,52.35788,4.83422
827,961,,,,,President Allendelaan,Platostraat-,5,52.37264,4.81782
828,962,,,,,Burg. Roellstraat,Slotermeerlaan-,5,52.3757,4.81902
829,963,,,,,Burg. Roellstraat,Burg. Cramergracht-,5,52.37354,4.83285
830,964,,,,,Burg. Rendorpstraat,Burg. Roellstraat-,5,52.37441,4.82727
831,965,,,,,Basisweg,Noordzeeweg-,5,52.39523,4.80838
832,967,,,,,Haarlemmerweg,"Gentstraat, Van-",5,52.38502,4.85173
833,969,,,,,Tussen Meer,Hoekenes-,5,52.35815,4.7999
834,970,,,,,Baden Powellweg,Tussenmeer-,5,52.35637,4.79101
835,972,,,,,Haarlemmerweg,Radarweg-,5,52.38473,4.83455
836,973,,,,,Haarlemmerweg,"Slingelandtstraat, Van-",5,52.38527,4.86525
837,975,,,0.0,,Spaarndammerdijk,Archangelweg-Oostzaanstraat,5,52.39292,4.87274
838,976,,,,,Spaarndammerstraat,Tasmanstraat-,5,52.39163,4.87817
839,977,,,,,Spaarndammerstraat,NovaZemblastraat-Zaandijkstraat,5,52.39058,4.87846
840,978,,,,,Haarlemmerweg,Vredenhofweg-,5,52.38522,4.86307
841,979,,,,,Arlandaweg,Kimpoweg-,5,52.3861,4.8399
842,980,,,,,Contactweg,Transformatorweg-,5,52.39199,4.85537
843,981,,,,,Basisweg,"Guardiaweg, La-",5,52.39172,4.84087
844,982,,,,,Haarlemmerweg,Kimpoweg-,5,52.38483,4.84031
845,983,,,,,Radarweg,Arlandaweg-,5,52.38593,4.8352
846,984,,,,,Radarweg,Naritaweg-Teleportboulevard,5,52.38769,4.83604
847,985,,,,,Seineweg,Theemsweg-,5,52.38937,4.81874
848,986,,,,,Seineweg,Naritaweg-,5,52.38785,4.81878
849,987,,,,,Basisweg,Seineweg-,5,52.39166,4.81874
850,990,,,,,Haarlemmerweg,A10-,5,52.38477,4.84372
851,IV702127,,,0.0,,,,5,52.366309,4.974215
852,IV702128,,,0.0,,,,5,52.389756,4.965546
853,IV702129,,,0.0,,,,5,52.390227,4.96795
854,IV702130,,,0.0,,,,5,52.406776,4.938338
855,IV702131,,,0.0,,,,5,52.408936,4.94102
856,IV702132,,,0.0,,,,5,52.417326,4.913189
857,IV702133,,,0.0,,,,5,52.420428,4.911794
858,IV702134,,,0.0,,,,5,52.423739,4.882891
859,IV702135,,,0.0,,,,5,52.425244,4.882355
860,kfc_VRI,asdfa,,,,,,5,52.38922059062124,4.958610534667969
861,D61,A6L,,,,,,0,52.390111075168704,5.321331024169922
862,bD110,Bermdrip a6L,,,,,,0,52.39555180742196,5.335503816604614
